Kerala Control Room: Emergency water-rescue ongoing in Idukki (Kottagiri sector); 4 boats deployed, bilge pumps requested, 120 civilians reported stranded on mid-slope terraces.
Mumbai BMC: Severe water-logging at Andheri subway and Sion-Worli link; traffic diversion enacted, pumps operating at full capacity, sandbagging underway at low-lying junctions.
Odisha SDRF: Cyclonic depression advisory for Puri coast; immediate evacuation of coastal huts initiated, tide surge modelling indicates 1.2–1.5 m surge potential—coastal alert level raised.
Uttarakhand Police: Landslide at NH-109 near Chamoli km 42+300; road blocked, slope stability team requested, NDRF Team 2 mobilised for boulder clearance and victim search.
Assam Rifles: Riverbank erosion at Dhubri sector; embankment breach detected at chainage 12.4 km, temporary cofferdam being planned, civilian evacuation to higher ground started.
NDRF Team 4: Reached landslide site in Chamoli; mechanical winches and cutting gear in use, primary search lanes opened, casualty triage point established.
Karnataka SDRF: Flash flood in Yellapur taluk; bridge SC-B collapsed at span 3, two vehicles submerged, boat teams conducting house-to-house evacuation, potable water packets en route.
Gujarat Control Room: Structural collapse in Bhuj old town; masonry collapse of heritage structure, collapse zone cordoned, urban search & rescue (USAR) canine teams deployed.
Tamil Nadu Fire & Rescue: Major urban fire in Coimbatore textile mill; multiple units on scene, aerial ladder operations active, hazardous material (hazmat) monitoring for combusted chemicals initiated.
West Bengal Police (Kolkata): Flooding in Tollygunge and Park Circus; rescue raft convoy transporting vulnerable residents to relief camp, water contamination advisory issued.
Maharashtra Disaster Mgmt: Landslide above Lonavala Ghats at km 17; protective berm failed, slope anchor team requested, traffic on Pune–Mumbai rail line suspended.
Andhra Pradesh SDRF: Cyclone approach to Vishakhapatnam; pre-emptive evacuation of low-lying mandals, temporary shelters readied with medical and power backup.
Telangana Fire: Multi-storey building collapse in Hyderabad Sec-45; heavy spreader and cutters employed, immediate structural shoring ordered, casualties being extricated.
Bihar Control Room: River Ganga at Patna rising rapidly; water level 0.9 m above danger mark, sluice gates opened upstream, flood mitigation pumps dispatched.
Punjab Police: Urban fire in Ludhiana market complex; gas detectors in use, gas-supply isolation confirmed, rescue ladder teams conducting interior search.
Himachal Pradesh SDRF: Avalanche threat near Rohtang pass; road clearance paused, air reconnaissance reporting unstable snowpack, stranded vehicles being recovered by towing teams.
Jammu & Kashmir Police: Earthquake-induced collapse in Kishtwar periphery; aftershock advisory active, emergency medical teams (EMTs) setting up mobile OR at staging area.
Goa Coast Guard: High wave warning after offshore storm; fishing vessels ordered to harbour, reconnaissance flight scheduled for shoreline damage assessment.
Navy (Andaman Zone): Tsunami run-up signs in North Andaman after regional event; immediate shoreline inspection, public instructed to move inland 500 m.
Chhattisgarh Control Room: Mine pit wall collapse at Korba; one miner missing, confined space rescue protocol activated, breathing apparatus and gas monitors en route.
Madhya Pradesh SDRF: Bridge failure on NH-46 near Hoshangabad; structural engineers requested, detour signage deployed, load restrictions enforced on nearby bridges.
Rajasthan Fire: Urban fire at textile godown in Jaipur; smoke plume monitored, evacuations of adjacent residential blocks, foam units requested for possible petroleum products.
Odisha Coast Guard: High tide warning issued for Puri district due to approaching depression; harbour vessels sheltered, shoreline watch teams activated.
Kerala Ops: Air-lifting requested for stranded civilians in Idukki (Upper Devikulam grid); two ALH/MI-17 sorties requested; medical evacuation priority for elderly and injured.
Assam State Disaster Cell: Flooding in Kaziranga perimeter villages; rhino corridor closed, human relocation to community centres in progress, veterinary teams on stand-by.
Meghalaya Police: Landslide on Shillong–Nongpoh road at KP 9; cutting and scaling required, geotech team requested to assess slope; alternate route advised.
Sikkim Control: Cloudburst event reported in North Sikkim (Lachen sector); multiple washouts on mountain trails, helicopter medevac requested for isolated camps.
Nagaland SDRF: Urban collapse at Dimapur residential block; electrical hazard mitigated, structural assessment ongoing, 10 occupants unaccounted — immediate search priority.
Manipur Police: River Imphal overflow; water levels at 1.3 m above warning; boats and lifejackets being distributed to affected wards.
Tripura Control: Cyclonic gust damage in Agartala; roof failures and fallen power poles, emergency power crews mobilised to restore critical services.
Arunachal Pradesh SDRF: Hill-slope failure near Bomdila after heavy rain; access limited, satellite comms set up for remote coordination, food and water drops scheduled.
Bihar NDRF Liaison: Train derailment near Hajipur due to track washout; multiple coaches overturned, extrication priority for trapped passengers, railway emergency unit coordinating.
Mizoram Police: Urban fire in Aizawl high-density market; narrow lanes restricting appliance access, manual containment initiated, flare-gas detectors deployed.
Haryana Control: Flash flood in Karnal lowlands; irrigation canal overtopping detected, breach mitigation team with polymer geotextile en route.
Uttar Pradesh (Kanpur Ops): Multi-storey building collapse after gas explosion in residential block; fire suppressed, USAR teams performing void search, hazardous gas monitors reporting safe levels.
Delhi Fire Service: Collapse of temporary structure at wedding hall in East Delhi; mass casualty management (MCM) activated, triage zone and casualty collection point established.
